"885390156663930880","RT @airindiain: Watch out @BeingSalmanKhan speak on #AirIndia, the official airline partner of #IIFA2017.  #IIFAWithAI @IIFA https://t.co/8…"
"885389997557329920","RT @airindiain: Watch out @BeingSalmanKhan speak on #AirIndia, the official airline partner of #IIFA2017.  #IIFAWithAI @IIFA https://t.co/8…"
"885389840606314496","RT @flyLAXairport: [PIC] Good news! @airindiain inaugurating service at #LAX this Oct. w/ service to Delhi, India, home to 1 of the Seven W…"
"885389837427245057","RT @airindiain: Watch out @BeingSalmanKhan speak on #AirIndia, the official airline partner of #IIFA2017.  #IIFAWithAI @IIFA https://t.co/8…"
"885389792950730752","RT @airindiain: Watch out @BeingSalmanKhan speak on #AirIndia, the official airline partner of #IIFA2017.  #IIFAWithAI @IIFA https://t.co/8…"
"885389674209988608","RT @airindiain: Watch out @BeingSalmanKhan speak on #AirIndia, the official airline partner of #IIFA2017.  #IIFAWithAI @IIFA https://t.co/8…"
"885389522757758978","RT @airindiain: Watch out @BeingSalmanKhan speak on #AirIndia, the official airline partner of #IIFA2017.  #IIFAWithAI @IIFA https://t.co/8…"
"885389193072881665","@airindiain @Paromikb Do you guys only respond to appreciation tweets?
I'm expecting an explanation on the illogica… https://t.co/yrD1B5iJg2"
"885388556998291457","RT @AshpreetSethi: @PetaIndia supports @airindiain 'a only veg policy for domestic economy fliers, suggests other airlines follow.."
"885388552590073856","RT @AshpreetSethi: @PetaIndia @airindiain @PetaIndia proposes putting meat &amp; dairy products on \"no fly\" list &amp; provide only vegan meals on…"
"885388414559830018","24 Global Destinations: Can @IndiGo6E Digest Air India’s International Operations-https://t.co/JqlovB9ajX… https://t.co/mhBsqO84Mk"
"885387654690332672","������������Thank u @airindiain for your warm hospitality! #NYC #IIFA2017 @IIFA @WizAndreTimmins @wizsabbas @virafsarkari :… https://t.co/OStasxVxiB"
"885387573769666560","RT @airindiain: Watch out @BeingSalmanKhan speak on #AirIndia, the official airline partner of #IIFA2017.  #IIFAWithAI @IIFA https://t.co/8…"
"885387570183512064","@deespeak @airindiain @IIFA @WizAndreTimmins @wizsabbas @virafsarkari बिक गयी ये airlines"
"885387078271455232","RT @AeroimagesChris: .@airindiain VT-NAA LN595 rolled out of final assembly tonight. https://t.co/XsVDuXx8Xm"
"885386720878841856","RT @airindiain: Watch out @BeingSalmanKhan speak on #AirIndia, the official airline partner of #IIFA2017.  #IIFAWithAI @IIFA https://t.co/8…"
"885386636577525760",".@airindiain Decision On #NonVeg Food Comes Under Par #PanelLens-https://t.co/IlKSxGcXe1 https://t.co/BhZRyjza1L"
"885385896773668864","RT @airindiain: Watch out @BeingSalmanKhan speak on #AirIndia, the official airline partner of #IIFA2017.  #IIFAWithAI @IIFA https://t.co/8…"
"885385814473150464",".@airindiain will commence non-stop flight service between #NewDelhi and #Stockholm from August 15, 2017… https://t.co/PJUtiOArg0"
"885385329989095424","RT @airindiain: Watch out @BeingSalmanKhan speak on #AirIndia, the official airline partner of #IIFA2017.  #IIFAWithAI @IIFA https://t.co/8…"
"885385098392092672","RT @deespeak: Thank you @airindiain for your warm hospitality! #NYC #IIFA2017 @IIFA @WizAndreTimmins @wizsabbas @virafsarkari https://t.co/…"
"885385049599692801","RT @airindiain: Watch out @BeingSalmanKhan speak on #AirIndia, the official airline partner of #IIFA2017.  #IIFAWithAI @IIFA https://t.co/8…"
"885384187699535872","RT @deespeak: Thank you @airindiain for your warm hospitality! #NYC #IIFA2017 @IIFA @WizAndreTimmins @wizsabbas @virafsarkari https://t.co/…"
"885383981188866048","Ministerial Panel On @airindiain Yet To Hold Its First Meeting: @nitin_gadkari -https://t.co/6yyNsCKGHn @arunjaitley https://t.co/WnKiF2u657"
"885382935226048512","Great and brave decision @airindiain people don't die if they eat one meal without meat ������ https://t.co/ggte42mV2b"
"885382193253679104","10:30 #flightdelayed to 11:50 its 11:45 but boarding not started @airindiain sucks #Dayschedulegonefortoss https://t.co/0Eg6XLToEr"
"885382112337068036","RT @airindiain: Watch out @BeingSalmanKhan speak on #AirIndia, the official airline partner of #IIFA2017.  #IIFAWithAI @IIFA https://t.co/8…"
